Alexa, Marc
Rombach, Dieter
Rosenblum, David S.
Savage, Stefan
Schnabel, Robert B
Spielman, Daniel A
Suri, Subhash
Tompa, Frank Wm
Torrellas, Josep
Trimberger, Stephen
Ungar, David M
Zeller, Andreas
Zhai, Shumin
Attiya, Hagit
Bacon, David F
Baeza-Yates, Ricardo A
Bajaj, Chandrajit L.
Bhatkar, Vijay P
Blakeley, Jose A
Borriello, Gaetano
Choudhary, Alok
Dale, Nell B.
Davie, Bruce
Dean, Jeffrey A
Dean, Thomas L
Donald, Bruce R.
Erickson, Thomas D
Esteves-Verissimo, Paulo
Fischer, Gerhard
Foster, Ian T
Goldberg, Andrew V
Goodrich, Michael T
Govindaraju, Venu
Gupta, Rajiv
Hellerstein, Joseph M
Hendren, Laurie J
Hoelzle, Urs
Jahanian, Farnam
Kaltofen, Erich L
Karger, David
Kaufman, Arie E
Kriegel, Hans-Peter
Lenzerini, Maurizio
Lui, John Chi-Shing
Manocha, Dinesh
Martonosi, Margaret
Matias, Yossi
Miller, RJ
Riedl, John T
Rinard, Martin
Selinger, Patricia G.
Shyamasundar, Rudrapatna K
Teng, Shang-Hua
Thekkath, Chandramohan A
Van Renesse, Robbert
Vemuri, Baba C
Vetterli, Martin
Whang, Kyu-Young
Wilks, Yorick
Winograd, Terry
Abadi, Martin
Abowd, Gregory D.
Aiken, Alex
Arora, Sanjeev
Balakrishnan, Hari
Buxton, William A.S.
Clarkson, Kenneth
Cong, Jason
Cook, Perry
Cook, Stephen A
Davidson, Jack
Dayal, Umeshwar
Deng, Xiaotie
Garcia-Luna-Aceves, J.J.
Goemans, Michel X
Hanrahan, Pat
House, Charles H
Humphrey, Watts S
Kay, Alan
Konstan, Joseph A
Levin, Roy
Lowney, Paul G
Malik, Jitendra
McKinley, Kathryn S
Meyer, Bertrand
Mitchell, John C.
Moses, Joel
Munro, Ian
Olson, Judith S
Paulson, Lawrence C
Pirahesh, Hamid
Randell, Brian
Reiter, Michael
Rexford, Jennifer
Rose, Jonathan
Rosenblum, Mendel
Rutenbar, Rob A
Sandholm, Tuomas
Sarkar, Vivek
Squillante, Mark S
Stenstrom, Per O
Sudan, Madhu
Szeliski, Richard
Terry, Douglas B
Agarwal, Anant
Alur, Rajeev
Banerjee, Utpal
Beeri, Catriel
Blum, Avrim
Brewer, Eric A A.
Broder, Andrei
Cohen, Michael F.
Constantine, Larry
Dolev, Danny
Downey, Rodney
Feigenbaum, Edward A
Felten, Edward
Fortnow, Lance
Gao, Guang
Gottlob, Georg
Hull, Richard
Huttenlocher, Daniel
Jiang, Tao
Klensin, John C
Lam, Monica
Levoy, Marc
Mishra, Bud
Moss, Eliot
Motwani, Rajeev
Odersky, Martin
Olson, Gary M
Padua, David
Pausch, Randy
Pnueli, Amir
Prasanna, Viktor
Requicha, Aristides
Roberts, Eric S
Terzopoulos, Demetri
Thomas, Donald E
Wadler, Philip
Wand, Mitchell
Zhang, HongJiang
Allender, Eric
Arvind, Arvind
Atallah, Mikhail
Chen, Ming-Syan
Dumais, Susan T
Fayyad, Usama M
Felleisen, Matthias
Forbus, Kenneth
Gibbons, Phillip B
Giles, Lee
Greenberg, Albert G
Gropp, William D
Guerin, Roch
Guttag, John
Haas, Laura M
Halevy, Alon Yitzchak
Hearn, Anthony C
Henzinger, Thomas A
Jouppi, Norman
Laird, John E.
Larus, James
Leiserson, Charles E
Li, Ming
McKeown, Nick
Moore, J Strother
Newell, Alan
Norvig, Peter
OLeary, Dianne Prost
Olsen, Dan R
Olukotun, Oyekunle
Ozsu, M. Tamer
Paxson, Vern
Scott, Michael
Shum, Heung-Yeung
Spector, Alfred Z
Vianu, Victor
Winslett, Marianne
Wolf, Alexander L
York, Bryant W
Zdonik, Stanley
Zhang, Lixia
Anderson, Thomas
Bjorner, Dines
Bourne, Stephen
Brooks, Rodney A
Chaudhuri, Surajit
Cooper, Keith
Dill, David
Diot, Christophe
Dubois, Michel
Franklin, Michael J
Frieder, Ophir
Harper, Robert
Herlihy, Maurice
Kolaitis, Phokion
Kumar, Vipin
Lakshman, T V
Myers, Brad A
Nicol, David M
Palem, Krishna
Reps, Thomas
Sha, Lui
Thorup, Mikkel
Upfal, Eli
Vazirani, Umesh
Vazirani, Vijay V
Want, Roy
Weikum, Gerhard
Weiser, Uri
Weld, Daniel
Wellman, Michael
Widom, Jennifer
Willinger, Walter
Wood, David A
Zhang, Hui
Bose, Bella
Bubenko, Janis A
Cardelli, Luca
Chien, Andrew A
Collins, George E
Emer, Joel
Gottlieb, Allan
Hanson, Vicki
Hill, Mark D.
Ioannidis, Yannis
Kaashoek, Frans
Larson, Per-Ake
Lee, Peter
Mockapetris, Paul
Peyton-Jones, Simon L
Schantz, Richard
Schroeder, Michael D
Vassiliadis, Stamatis
Wah, Benjamin W.
Wise, David S
Agrawal, Rakesh
Ammar, Mostafa
Bahl, Victor
Berger, Bonnie
Bertino, Elisa
Carroll, John Millar
DeMillo, Richard
Grosz, Barbara J
Hailpern, Brent T
Han, Jiawei
Harrold, Mary
Hart, Peter
Horowitz, Mark A
Hudak, Paul
Jagadish, H V
Jain, Anil K
Jain, Ramesh C
Jha, Niraj K.
Kozen, Dexter
Lin, Yi-Bing
McKeown, Kathleen
Moran, Thomas
Myers, Eugene
Partridge, Craig
Reed, Daniel A
Russell, Stuart
Sanders, William
Shenker, Scott J
Sohi, Gurindar S
Van Rijsbergen, C J
Agarwal, Pankaj
Agrawal, Vishwani D
Babaoglu, Ozalp
Crowcroft, Jon
Culler, David
Dally, William
Dietterich, Thomas G
Eggers, Susan
Gabow, Harold N
Goyal, Ambuj
Guzman, Adolfo
Halpern, Joseph
Hwu, Wen-Mei
Immerman, Neil
Karin, Sidney
Kellogg, Wendy A
Lomet, David B
Miller, Gary L
Mohan, C.
Naughton, Jeffrey F
Rau, Bantwal R
Salesin, David H
Satyanarayanan, Mahadev
Valero, Mateo
Varghese, George
Wilkes, John
Abraham, Jacob
Aiken, Robert
Asano, Tetsuo
Bernstein, Philip A
Birnbaum, Joel S
Borning, Alan H
Breitbart, Yuri
Cai, Jin-Yi
Clark, David D
Davidson, Susan B
de Kleer, Johan
Demicheli, Giovanni
Dongarra, Jack
Farber, David J.
Feigenbaum, Joan
Ferrari, Domenico
Floyd, Sally J
Gelenbe, Erol
Hayes, John P
Iyengar, Sitharama
Iyer, Ravishankar
Jaja, Joseph F
Kahn, Robert E
Kang , Sung Mo
Kieburtz, Richard B
Kowalski, Robert A
Kramer, Jeffrey
Kurose, James
Lee, Ruby B
Litwin, Witold
Miller, Barton P
Mogul, Jeffrey C
Norman, Don
Pancake, Cherri M
Papadimitriou, Christos
Parker, Donn B
Patel, Janak H
Patt, Yale
Pohl, Ira
Pullen, John Mark
Raghavan, Prabhakar
Ramakrishnan, Raghu
Ramamritham, Krithi
Reynolds, John C
Robertson, George
Roussopoulos, Nick
Sabnani, Krishan K.
Sandhu, Ravinderpal S
Schek, Hans-Joerg
Schlichting, Richard D
Shin, Kang
Shmoys, David Bernard
Smith, Alan
Steinmetz, Ralf
Turner, Jonathan
Wolf, Marilyn Claire
Wolfson, Ouri
Zave, Pamela
Banerjee, Prithviraj
Berman, Francine
Bhuyan, Laxminarayan Bhuyan
Biermann, Alan W
Bokhari, Shahid H
Bryant, Randal E
Buneman, Peter
Card, Stuart K.
Carey, Michael J
Comer, Douglas E
Duncan, Karen
Estrin, Deborah
Fagin, Ronald
Freeman, Peter A
Fuchs, Wesley Kent
Haderle, Donald J
Heath, Michael
Kleinrock, Leonard
Korth, Henry F
Lamsweerde, Axel Van
Lorie, Raymond A
Loveland, Donald W
Meyer, Albert R
Morris, James H
Peterson, Larry L
Vardi, Moshe Y
Warren, David S
Wilhelm, Reinhard
Williams, Robin
Zwaenepoel, Willy E
Auslander, Marc
Birman, Ken
Brachman, Ronald J.
Braden, Robert T
Cook, Rob
DeBlasi, Joseph S
Demmel, James
Fateman, Richard J
Foley, James D
Gannon, John D
Geschke, Charles M
Ghezzi, Carlo
Glass, Robert L
Graham, Ronald L.
Guibas, Leonidas
Ibaraki, Toshihide
Kanade, Takeo
Lewis, Philip M
MacQueen, David
Martin, C. Dianne
Masinter, Larry M
Mehlhorn, Kurt
Mills, David L
Pradhan, Dhiraj
Sameh, Ahmed
Samuelson, Pamela
Snir, Marc
Snodgrass, Richard
Soffa, Mary Lou
Tan, Chung Jen
Torii, Koji
Waltz, David L
Warnock, John
Yonezawa, Akinori
Agrawal, Dharma P
Andrews, Gregory R
Appel, Andrew W
Berghel, Hal
Browne, James C
Cartwright, Robert
Chen, Peter P
Clarke, Edmund
Clarke, Lori
Cole, Richard J
Ellis, Clarence A
Gabriel, Richard P.
Gupta, Gopal Krishna
Horning, James Jay
Jones, Neil
Joshi, Aravind K
Kandel, Abraham
Kent, Stephen T
LAM, SIMON S
Li, Kai
Maier, David
Notkin, David S
Nycum, Susan H
Osterweil, Leon J
Rangan, Venkat
Richards, John T
Rowe, Lawrence A
Ryder, Barbara Gershon
Selman, Alan
Sequin, Carlo H
Siegel, H. J.
Spafford, Eugene H.
Tardos, Eva
Taylor, Richard N
Turner, Albert J
Welzl, Emmerich
Wing, Jeannette M.
Yannakakis, Mihalis
Zweben, Stuart
Akyildiz, Ian F
Basili, Victor
Bate, Roger R
Boehm, Barry
Chlamtac, Imrich
Couger, J D
Croft, Bruce
Davis, Gordon B
Dobkin, David P
E Baer, Jean-Loup E
Freeman, Herbert
Garcia-Molina, Hector
Greif, Irene
Gurevich, Yuri
Hennessy, John L
Kedem, Zvi Meir
